,PUMA,NP,ACCESS,BATH,BDSP,BLD,BROADBND,COMPOTHX,DIALUP,ELEFP,ELEP,FS,FULFP,GASFP,HFL,HISPEED,LAPTOP,OTHSVCEX,REFR,RMSP,RNTM,RNTP,RWAT,SATELLITE,SINK,SMARTPHONE,STOV,TABLET,TEL,TEN,VEH,WATFP,YBL,GRNTP,GRPIP,HHL,HHLANP,HHT,HINCP,HUGCL,HUPAC,HUPAOC,HUPARC,KIT,LNGI,MULTG,MV,NOC,NPP,NR,NRC,PARTNER,PLM,PSF,R18,R60,R65,RESMODE,SRNT,SSMC,WGTP_CLT,AMI,AFF_OCC,COST_BURDALL
1372,3101,2,1.0,1,3,5,1.0,2.0,2.0,3.0,130.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,1,12,2.0,870.0,1,1.0,1,1.0,1,1.0,1.0,3.0,3.0,1.0,7,1050.0,12.0,1.0,9500.0,1.0,103000.0,0.0,4.0,4.0,4.0,1,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,3,1,0.0,66.0,7.0,3.0,0.0
1373,3104,2,3.0,1,1,6,1.0,2.0,2.0,3.0,110.0,1.0,2.0,3.0,3.0,1.0,2.0,2.0,1,3,2.0,530.0,1,2.0,1,2.0,1,2.0,1.0,3.0,2.0,1.0,4,640.0,45.0,1.0,9500.0,7.0,17200.0,0.0,4.0,4.0,4.0,1,1.0,1.0,3.0,0.0,0.0,1.0,0.0,4.0,1,0.0,0.0,2.0,0.0,2,1,0.0,119.79,1.0,2.0,1.0
1374,3106,2,1.0,1,2,7,2.0,2.0,2.0,3.0,80.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,4,2.0,1400.0,1,2.0,1,1.0,1,2.0,1.0,3.0,1.0,3.0,20,1501.0,20.0,1.0,9500.0,3.0,92000.0,1.0,2.0,4.0,2.0,1,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1,0.0,1.0,0.0,0.0,2,1,0.0,103.23,7.0,5.0,0.0
1375,3103,3,3.0,1,2,7,1.0,2.0,2.0,3.0,80.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,1,4,2.0,920.0,1,2.0,1,1.0,1,1.0,1.0,3.0,1.0,1.0,7,1000.0,45.0,1.0,9500.0,3.0,26700.0,1.0,1.0,4.0,1.0,1,1.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1,1,0.0,58.0,2.0,3.0,1.0
1376,3107,2,1.0,1,2,3,1.0,2.0,2.0,3.0,190.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,4,2.0,850.0,1,1.0,1,1.0,1,1.0,1.0,3.0,1.0,2.0,5,1040.0,50.0,1.0,9500.0,2.0,25000.0,0.0,4.0,4.0,4.0,1,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,1,0.0,18.76,2.0,4.0,1.0
1377,3104,4,1.0,1,1,8,1.0,2.0,2.0,3.0,60.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,3,2.0,1200.0,1,2.0,1,1.0,1,1.0,1.0,3.0,1.0,3.0,7,1360.0,18.0,4.0,1765.0,1.0,90000.0,0.0,2.0,2.0,2.0,1,1.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,1,0.0,1.0,0.0,0.0,2,1,0.0,220.77,7.0,5.0,0.0
1378,3105,4,1.0,1,4,2,1.0,2.0,2.0,3.0,250.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,12,2.0,670.0,1,2.0,1,1.0,1,1.0,1.0,3.0,3.0,3.0,8,926.0,22.0,1.0,9500.0,3.0,51100.0,0.0,4.0,4.0,4.0,1,1.0,1.0,4.0,0.0,0.0,1.0,0.0,4.0,1,0.0,0.0,0.0,0.0,3,1,0.0,162.03,4.0,2.0,0.0
1379,3102,3,1.0,1,3,2,2.0,2.0,2.0,3.0,100.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1,6,2.0,800.0,1,2.0,1,1.0,1,2.0,1.0,3.0,2.0,3.0,5,925.0,74.0,1.0,9500.0,2.0,15000.0,0.0,1.0,1.0,1.0,1,1.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,1,0.0,1.0,0.0,0.0,2,1,0.0,147.3,1.0,2.0,1.0
1380,3106,5,1.0,1,3,2,1.0,2.0,2.0,3.0,430.0,1.0,2.0,3.0,3.0,2.0,1.0,2.0,1,6,2.0,650.0,1,2.0,1,1.0,1,1.0,1.0,3.0,0.0,3.0,6,1130.0,36.0,2.0,1200.0,1.0,0.0,0.0,2.0,2.0,2.0,1,1.0,1.0,4.0,3.0,0.0,0.0,3.0,0.0,1,0.0,1.0,0.0,0.0,2,1,0.0,97.03,1.0,3.0,1.0
1381,3102,3,1.0,1,4,2,1.0,2.0,2.0,3.0,60.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,1,7,2.0,1500.0,1,2.0,1,1.0,1,1.0,1.0,3.0,1.0,3.0,11,1643.0,70.0,1.0,9500.0,3.0,28000.0,0.0,3.0,3.0,3.0,1,1.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,1,0.0,1.0,0.0,0.0,3,1,0.0,80.52,2.0,4.0,1.0
